Location,Burrito,Neighborhood,Address,Yelp,Google,Cost,key
Pokirrito,Pokirrito classic ,Kearny Mesa,4646 Convoy St,4,4.3,11.95,203
Pokirrito,Mauna Lani,Kearny Mesa,4646 Convoy St,4,4.3,11.95,204
Los Primos Mexican Food,619 Burrito Original,University City,7770 Regents Rd,3,3.7,11.75,130
Famoso Mexican Street Food,Cali Diablo,Downtown,815 C St,4.5,3.9,10.5,79
Lupe's Taco Shop,TGunz,Linda Vista,7621 Linda Vista Rd,3.5,4.5,10,179
Lupe's Taco Shop,TGunz,Linda Vista,7621 Linda Vista Rd,3.5,4.5,10,180
La Perla Cocina,Oaxacalifornia,Pacific Beach,745 Emerald St,4.5,4.7,9.99,106
Los Tacos 2,Cheese steak,Oceanside,3480 Marron Rd,4.5,5,9.95,156
El Zarape,Lobster,University Heights,4642 Park Blvd,4,4.4,9.5,73
JV's Mexican Food,Surf & Turf,Morena,1112 Morena Blvd,4,4.1,9.5,91
Los Primos Mexican Food,Monster California,University City,7770 Regents Rd,3,3.7,9.25,129
Los Primos Mexican Food,Monster California,University City,7770 Regents Rd,3,3.7,9.25,132
El Rey Moro,California Surf,Clairemont,4471 Clairemont Mesa Blvd,4,3.8,9.19,65
Roberto's Taco Shop Hillcrest,California Surf and Turf,Hillcrest,420 Robinson Ave,4,4.2,9,237
Senor Grubby's,California,Carlsbad,377 Carlsbad Village Dr,4,4.1,9,247
Senor Grubby's,Pastor,Carlsbad,377 Carlsbad Village Dr,4,4.1,9,248
Rubios UCSD,Grilled fish salmon,University City,9500 Gilman Dr,3.5,3.4,8.99,244
Lolita's Taco Shop,Shrimp,Kearny Mesa,7305 Clairemont Mesa Blvd,4,4.4,8.95,116
El Rey Moro,Hashbrown,Clairemont,4471 Clairemont Mesa Blvd,4,3.8,8.94,67
Lolita's Taco Shop,2 in 1,Kearny Mesa,7305 Clairemont Mesa Blvd,4,4.4,8.75,110
Lolita's Taco Shop,2 in 1,Kearny Mesa,7305 Clairemont Mesa Blvd,4,4.4,8.75,113
Lolita's Taco Shop,2 in 1,Kearny Mesa,7305 Clairemont Mesa Blvd,4,4.4,8.75,114
